0.33597,0.1745,0.01842,0.01889,0.04027,0.05369
0.3769,0.73826,0.02204,0.02185,0.06712,0.08053
0.4231,1.26174,0.02435,0.02392,0.08053,0.06712
0.47459,1.5302,0.02757,0.02729,0.06711,0.0671200000000001
0.53267,1.66443,0.03079,0.03065,0.06711,0.08054
0.59736,1.65101,0.03404,0.03399,0.05369,0.05369
0.66997,1.65101,0.03643,0.03818,0.05369,0.05369
0.75182,1.61074,0.04148,0.04410,0.05369,0.05369
0.8429,1.65101,0.04698,0.0495800000000001,0.05369,0.05369
0.94587,1.58389,0.05339,0.05413,0.05369,0.05369
