0.33597,0.10406,0.01842,0.01889,0.02503,0.02503
0.3769,0.25462,0.02204,0.02185,0.02503,0.01252
0.4231,0.48034,0.02435,0.02392,0.02503,0.03755
0.47459,0.79371,0.02757,0.02729,0.05007,0.03755
0.53267,1.04455,0.03079,0.03065,0.05007,0.05006
0.59736,1.23288,0.03404,0.03399,0.0500799999999999,0.03753
0.66997,1.42127,0.03643,0.03818,0.0500700000000001,0.05006
0.75182,1.72239,0.04148,0.04410,0.05006,0.03755
0.8429,2.26142,0.04698,0.0495800000000001,0.05007,0.03755
0.94587,2.72544,0.05339,0.05413,0.02503,0.02503
