0.33597,0.08399,0.01842,0.01889,0.06248,0.06249
0.3769,0.20933,0.02204,0.02185,0.08748,0.06248
0.4231,0.4097,0.02435,0.02392,0.07498,0.06248
0.47459,0.71008,0.02757,0.02729,0.08748,0.06248
0.53267,0.98552,0.03079,0.03065,0.06248,0.07498
0.59736,1.14857,0.03404,0.03399,0.07498,0.06248
0.66997,1.31167,0.03643,0.03818,0.07498,0.06248
0.75182,1.62482,0.04148,0.04410,0.08748,0.07498
0.8429,2.30047,0.04698,0.0495800000000001,0.07498,0.07498
0.94587,2.97622,0.05339,0.05413,0.09998,0.0874799999999998
